id,name,symbol,weight
354,Quest Diagnostics Incorporated,DGX,0.053347
355,Citrix Systems Inc.,CTXS,0.053128
356,Masco Corporation,MAS,0.053100
357,Tiffany & Co.,TIF,0.052954
358,Arista Networks Inc.,ANET,0.052800
359,NetApp Inc.,NTAP,0.052743
360,Conagra Brands Inc.,CAG,0.051944
361,Atmos Energy Corporation,ATO,0.051870
362,International Flavors & Fragrances Inc.,IFF,0.051687
363,Symantec Corporation,SYMC,0.051618
364,AmerisourceBergen Corporation,ABC,0.051506
365,Hologic Inc.,HOLX,0.051240
366,Cboe Global Markets Inc,CBOE,0.050839
367,Loews Corporation,L,0.050555
368,Jacobs Engineering Group Inc.,JEC,0.050306
369,Westinghouse Air Brake Technologies Corporation,WAB,0.050123
370,Duke Realty Corporation,DRE,0.049851
371,Alliant Energy Corp,LNT,0.049733
372,Expeditors International of Washington Inc.,EXPD,0.049558
373,CenturyLink Inc.,CTL,0.049224
374,NVR Inc.,NVR,0.048835
375,DENTSPLY SIRONA Inc.,XRAY,0.048720
376,FMC Corporation,FMC,0.047651
377,J.M. Smucker Company,SJM,0.047488
378,Host Hotels & Resorts Inc.,HST,0.047453
379,Brown-Forman Corporation Class B,BF.B,0.047315
380,American Airlines Group Inc.,AAL,0.047074
381,CBS Corporation Class B,CBS,0.046794
382,Wynn Resorts Limited,WYNN,0.046325
383,Leidos Holdings Inc.,LDOS,0.046248
384,Advance Auto Parts Inc.,AAP,0.046104
385,IDEX Corporation,IEX,0.046101
386,Fortinet Inc.,FTNT,0.045915
387,Nasdaq Inc.,NDAQ,0.045896
388,SVB Financial Group,SIVB,0.045421
389,Lamb Weston Holdings Inc.,LW,0.045165
390,Tractor Supply Company,TSCO,0.044953
391,Lincoln National Corporation,LNC,0.044850
392,AES Corporation,AES,0.044592
393,Fox Corporation Class A,FOXA,0.044581
394,Regency Centers Corporation,REG,0.044465
395,Hasbro Inc.,HAS,0.044360
396,Universal Health Services Inc. Class B,UHS,0.044286
397,Hormel Foods Corporation,HRL,0.043995
398,Varian Medical Systems Inc.,VAR,0.043540
399,Norwegian Cruise Line Holdings Ltd.,NCLH,0.043482
400,Allegion PLC,ALLE,0.043011
401,Jack Henry & Associates Inc.,JKHY,0.042784
402,Avery Dennison Corporation,AVY,0.042692
403,Arconic Inc.,ARNC,0.042208
404,Western Union Company,WU,0.042135
405,Textron Inc.,TXT,0.042072
406,Pinnacle West Capital Corporation,PNW,0.041891
407,Eastman Chemical Company,EMN,0.041795
408,LKQ Corporation,LKQ,0.041553
409,Vornado Realty Trust,VNO,0.041239
410,NiSource Inc,NI,0.041194
411,Everest Re Group Ltd.,RE,0.040974
412,C.H. Robinson Worldwide Inc.,CHRW,0.040944
413,Raymond James Financial Inc.,RJF,0.040925
414,United Rentals Inc.,URI,0.040887
415,Packaging Corporation of America,PKG,0.040883
416,NRG Energy Inc.,NRG,0.040268
417,PulteGroup Inc.,PHM,0.039970
418,J.B. Hunt Transport Services Inc.,JBHT,0.039835
419,E*TRADE Financial Corporation,ETFC,0.039772
420,CF Industries Holdings Inc.,CF,0.039273
421,Molson Coors Brewing Company Class B,TAP,0.039122
422,Mylan N.V.,MYL,0.039011
423,Globe Life Inc.,GL,0.038756
424,Comerica Incorporated,CMA,0.038755
425,Qorvo Inc.,QRVO,0.038196
426,WestRock Company,WRK,0.037964
427,Whirlpool Corporation,WHR,0.037805
428,PerkinElmer Inc.,PKI,0.037627
429,Federal Realty Investment Trust,FRT,0.037613
430,Henry Schein Inc.,HSIC,0.037259
431,Iron Mountain Inc.,IRM,0.037187
432,Huntington Ingalls Industries Inc.,HII,0.037082
433,ABIOMED Inc.,ABMD,0.036957
434,Noble Energy Inc.,NBL,0.036780
435,Marathon Oil Corporation,MRO,0.036772
436,Snap-on Incorporated,SNA,0.035839
437,Kimco Realty Corporation,KIM,0.035534
438,Discovery Inc. Class C,DISCK,0.034737
439,National Oilwell Varco Inc.,NOV,0.034253
440,F5 Networks Inc.,FFIV,0.034159
441,Mohawk Industries Inc.,MHK,0.034059
442,Zions Bancorporation N.A.,ZION,0.034024
443,BorgWarner Inc.,BWA,0.033960
444,Alaska Air Group Inc.,ALK,0.033887
445,Juniper Networks Inc.,JNPR,0.033612
446,Fortune Brands Home & Security Inc.,FBHS,0.033282
447,Interpublic Group of Companies Inc.,IPG,0.033269
448,HollyFrontier Corporation,HFC,0.032995
449,TechnipFMC Plc,FTI,0.032871
450,DISH Network Corporation Class A,DISH,0.032822
451,Devon Energy Corporation,DVN,0.032513
452,Apartment Investment and Management Company Class A,AIV,0.032378
453,Kohl's Corporation,KSS,0.032355
454,Apache Corporation,APA,0.032118
455,Cabot Oil & Gas Corporation,COG,0.031211
456,Campbell Soup Company,CPB,0.030985
457,Franklin Resources Inc.,BEN,0.030824
458,Assurant Inc.,AIZ,0.030722
